iter	MultiClass
0	1.017091511
1	0.9438083277
2	0.8712670201
3	0.8116884826
4	0.7618828772
5	0.7141430421
6	0.6687449579
7	0.6278858391
8	0.5925021342
9	0.557855931
10	0.5372844483
11	0.5095219726
12	0.4827456782
13	0.4595948903
14	0.4423509068
15	0.4258306663
16	0.4073817834
17	0.3884098666
18	0.3712289937
19	0.3535001386
20	0.3412021942
21	0.3274932841
22	0.3153933642
23	0.3041567038
24	0.2902747521
25	0.2811580149
26	0.2733094166
27	0.2655776549
28	0.2568752374
29	0.2502605128
30	0.2432359123
31	0.2366684351
32	0.2307455478
33	0.2243236292
34	0.2186194322
35	0.2135279138
36	0.2081657749
37	0.2044810595
38	0.1997747804
39	0.1944148984
40	0.1910649766
41	0.1870266644
42	0.1828392879
43	0.1791703538
44	0.1763661695
45	0.1730348901
46	0.1690368351
47	0.1663082064
48	0.1639095097
49	0.1610244934
50	0.1577083561
51	0.1553683417
52	0.152515401
53	0.1497292052
54	0.147740138
55	0.1454268603
56	0.143239047
57	0.1415820233
58	0.1392620214
59	0.1368831382
60	0.1352837864
61	0.1332305339
62	0.132122036
63	0.130420917
64	0.1281719851
65	0.126965214
66	0.1245031772
67	0.1217536657
68	0.1203981953
69	0.1188522641
70	0.1169463253
71	0.1153109896
72	0.1143319494
73	0.1117616931
74	0.1103828135
75	0.1085702315
76	0.1073030333
77	0.1061390282
78	0.1048573322
79	0.1037055704
80	0.1024798992
81	0.1012471595
82	0.1001480786
83	0.09866262772
84	0.09771482618
85	0.09664477338
86	0.09543223295
87	0.09423362507
88	0.09322735221
89	0.09186260819
90	0.09078549197
91	0.09014736825
92	0.08887470029
93	0.0878987395
94	0.08608304741
95	0.08487455437
96	0.08421512071
97	0.08307709716
98	0.08232283414
99	0.08141370265
100	0.0801073565
101	0.07960062251
102	0.07862222498
103	0.07746974953
104	0.07681991853
105	0.07632556339
106	0.07570336184
107	0.07448282357
108	0.07393649296
109	0.07334756432
110	0.07265186363
111	0.07177912477
112	0.07118394165
113	0.07053783358
114	0.06978516038
115	0.06917012576
116	0.06865320506
117	0.06796977746
118	0.06727389216
119	0.06690577029
120	0.06640920346
121	0.06601262049
122	0.065497727
123	0.06500120237
124	0.06447826212
125	0.06412947783
126	0.06364093781
127	0.06301842252
128	0.06268745753
129	0.06224747505
130	0.06174369663
131	0.06145350735
132	0.06090834739
133	0.06047791822
134	0.05980955559
135	0.05922744237
136	0.05875312308
137	0.05837663889
138	0.05794284799
139	0.05750915685
140	0.05711753938
141	0.05683750882
142	0.05632744451
143	0.05588626479
144	0.05558923246
145	0.05514174004
146	0.05472265725
147	0.05403135255
148	0.05353559327
149	0.0530135646
150	0.05267249721
151	0.05238565226
152	0.05203839306
153	0.05156555268
154	0.05110472742
155	0.05076220709
156	0.05043975057
157	0.05008487083
158	0.04950143953
159	0.04915753672
160	0.04890822236
161	0.04853458359
162	0.04818055508
163	0.04773418805
164	0.04734448119
165	0.04708534672
166	0.04691885132
167	0.0465724408
168	0.04630531253
169	0.04599692712
170	0.04542488481
171	0.04502740756
172	0.04473853212
173	0.04427388145
174	0.04387534335
175	0.04362553015
176	0.04347730683
177	0.04321359831
178	0.0427804771
179	0.04249995305
180	0.04218545277
181	0.04191223683
182	0.04172752362
183	0.04142394407
184	0.04125082513
185	0.04107955126
186	0.04084252066
187	0.04067898366
188	0.04052664913
189	0.04037385565
190	0.04006027751
191	0.0399063196
192	0.03970441925
193	0.03938681178
194	0.03926273457
195	0.03898072279
196	0.03886481395
197	0.03870541419
198	0.03856010344
199	0.03835802715
200	0.03817315365
201	0.0379718719
202	0.03783093445
203	0.03755452144
204	0.03739990852
205	0.03707330003
206	0.03689787068
207	0.03665229799
208	0.03639003476
209	0.03606860309
210	0.03589760184
211	0.03576133608
212	0.03553211577
213	0.03536876121
214	0.0351560871
215	0.03494967894
216	0.03478803329
217	0.03463213959
218	0.03454391387
219	0.03435877039
220	0.03415161362
221	0.03401766011
222	0.0337795865
223	0.03363688364
224	0.0334436422
225	0.03329816293
226	0.03303103891
227	0.03282421994
228	0.03269714869
229	0.03256799176
230	0.03248874481
231	0.03234466894
232	0.03222884031
233	0.03205038343
234	0.03185458889
235	0.03174503885
236	0.03156245903
237	0.03144350023
238	0.03137027705
239	0.0312558594
240	0.03109044045
241	0.03096450969
242	0.03091631754
243	0.03078835208
244	0.03066168672
245	0.03051818667
246	0.03035577067
247	0.0302727245
248	0.03009092479
249	0.02997568422
250	0.02982819581
251	0.02970476237
252	0.02954370069
253	0.02945874646
254	0.02930833388
255	0.02925597152
256	0.0290950256
257	0.0289146051
258	0.02868502107
259	0.02860400759
260	0.0285035733
261	0.02840667567
262	0.02829460037
263	0.02817356466
264	0.02791497592
265	0.02781060884
266	0.02769437384
267	0.02755748749
268	0.02747425708
269	0.02737882894
270	0.02726487049
271	0.02717761198
272	0.02709662383
273	0.02701105967
